2.500000000000000000e-01 6.544984694978735152e-05 2.182043313470603376e-08 2.072941147797073141e-08 8.728173253882413216e-10 2.182043313470603304e-10
5.000000000000000000e-01 5.235987755982988122e-04 1.745634650776482701e-07 1.658352918237658513e-07 6.982538603105930572e-09 1.745634650776482643e-09
7.500000000000000000e-01 1.767145867644258437e-03 5.891516946370629116e-07 5.596941099052097448e-07 2.356606778548251620e-08 5.891516946370629050e-09
1.000000000000000000e+00 4.188790204786390498e-03 1.396507720621186161e-06 1.326682334590126810e-06 5.586030882484744458e-08 1.396507720621186114e-08
1.250000000000000000e+00 8.181230868723418995e-03 2.727554141838254220e-06 2.591176434746341615e-06 1.091021656735301688e-07 2.727554141838254220e-08
1.500000000000000000e+00 1.413716694115406750e-02 4.713213557096503293e-06 4.477552879241677959e-06 1.885285422838601296e-07 4.713213557096503240e-08
1.750000000000000000e+00 2.244929750377706174e-02 7.484408565204170004e-06 7.110188136943960911e-06 2.993763426081667875e-07 7.484408565204169686e-08
2.000000000000000000e+00 3.351032163829112398e-02 1.117206176496948929e-05 1.061345867672101448e-05 4.468824705987795566e-07 1.117206176496948892e-07
2.250000000000000000e+00 4.771293842639497823e-02 1.590709575520069988e-05 1.511174096744066353e-05 6.362838302080279572e-07 1.590709575520069893e-07
2.500000000000000000e+00 6.544984694978735196e-02 2.182043313470603376e-05 2.072941147797073292e-05 8.728173253882413505e-07 2.182043313470603376e-07
2.750000000000000000e+00 8.711374629016697957e-02 2.904299650229373814e-05 2.759084667717905259e-05 1.161719860091749627e-06 2.904299650229374068e-07
3.000000000000000000e+00 1.130973355292325400e-01 3.770570845677202634e-05 3.582042303393342367e-05 1.508228338270881037e-06 3.770570845677202592e-07
3.250000000000000000e+00 1.437933137486828161e-01 4.793949159694916592e-05 4.554251701710170999e-05 1.917579663877966688e-06 4.793949159694916719e-07
3.500000000000000000e+00 1.795943800302164939e-01 5.987526852163336003e-05 5.688150509555168729e-05 2.395010740865334300e-06 5.987526852163335749e-07
3.750000000000000000e+00 2.208932334555323285e-01 7.364396182963286607e-05 6.996176373815121599e-05 2.945758473185314558e-06 7.364396182963286395e-07
4.000000000000000000e+00 2.680825731063289918e-01 8.937649411975591429e-05 8.490766941376811587e-05 3.575059764790236453e-06 8.937649411975591133e-07
4.250000000000000000e+00 3.215550980643052670e-01 1.072037879908107553e-04 1.018435985912702135e-04 4.288151519632430246e-06 1.072037879908107562e-06
4.500000000000000000e+00 3.817035074111598258e-01 1.272567660416055991e-04 1.208939277395253083e-04 5.090270641664223658e-06 1.272567660416055914e-06
4.750000000000000000e+00 4.489205002285914237e-01 1.496663508709486826e-04 1.421830333274012404e-04 5.986654034837947372e-06 1.496663508709486843e-06
5.000000000000000000e+00 5.235987755982988157e-01 1.745634650776482701e-04 1.658352918237658634e-04 6.982538603105930804e-06 1.745634650776482701e-06
5.250000000000000000e+00 6.061310326019806460e-01 2.020790312605125715e-04 1.919750796974869361e-04 8.083161250420502520e-06 2.020790312605125630e-06
5.500000000000000000e+00 6.969099703213358366e-01 2.323439720183499051e-04 2.207267734174324207e-04 9.293758880733997017e-06 2.323439720183499254e-06
5.750000000000000000e+00 7.963282878380627539e-01 2.654892099499683183e-04 2.522147494524699268e-04 1.061956839799873354e-05 2.654892099499683386e-06
6.000000000000000000e+00 9.047786842338603197e-01 3.016456676541762107e-04 2.865633842714673894e-04 1.206582670616704829e-05 3.016456676541762073e-06
6.250000000000000000e+00 1.022653858590427456e+00 3.409442677297818466e-04 3.238970543432927434e-04 1.363777070919127407e-05 3.409442677297818517e-06
6.500000000000000000e+00 1.150346509989462529e+00 3.835159327755933273e-04 3.643401361368136799e-04 1.534063731102373350e-05 3.835159327755933375e-06
6.750000000000000000e+00 1.288249337512664461e+00 4.294915853904189172e-04 4.080170061208979442e-04 1.717966341561675601e-05 4.294915853904189002e-06
7.000000000000000000e+00 1.436755040241731951e+00 4.790021481730668803e-04 4.550520407644134983e-04 1.916008592692267440e-05 4.790021481730668599e-06
7.250000000000000000e+00 1.596256317258363699e+00 5.321785437223454807e-04 5.055696165362281959e-04 2.128714174889381977e-05 5.321785437223454943e-06
7.500000000000000000e+00 1.767145867644258628e+00 5.891516946370629285e-04 5.596941099052097279e-04 2.356606778548251646e-05 5.891516946370629116e-06
7.750000000000000000e+00 1.949816390481114992e+00 6.500525235160275420e-04 6.175498973402262191e-04 2.600210094064110236e-05 6.500525235160275590e-06
8.000000000000000000e+00 2.144660584850631935e+00 7.150119529580473143e-04 6.792613553101449269e-04 2.860047811832189162e-05 7.150119529580472906e-06
