2.500000000000000000e-01 6.544984694978735152e-05 2.036573759239229840e-08
5.000000000000000000e-01 5.235987755982988122e-04 1.629259007391383872e-07
7.500000000000000000e-01 1.767145867644258437e-03 5.498749149945920932e-07
1.000000000000000000e+00 4.188790204786390498e-03 1.303407205913107098e-06
1.250000000000000000e+00 8.181230868723418995e-03 2.545717199049037555e-06
1.500000000000000000e+00 1.413716694115406750e-02 4.398999319956736745e-06
1.750000000000000000e+00 2.244929750377706174e-02 6.985447994190559009e-06
2.000000000000000000e+00 3.351032163829112398e-02 1.042725764730485678e-05
2.250000000000000000e+00 4.771293842639497823e-02 1.484662270485398757e-05
2.500000000000000000e+00 6.544984694978735196e-02 2.036573759239230044e-05
2.750000000000000000e+00 8.711374629016697957e-02 2.710679673547415288e-05
3.000000000000000000e+00 1.130973355292325400e-01 3.519199455965389396e-05
3.250000000000000000e+00 1.437933137486828161e-01 4.474352549048587780e-05
3.500000000000000000e+00 1.795943800302164939e-01 5.588358395352447207e-05
3.750000000000000000e+00 2.208932334555323285e-01 6.873436437432401736e-05
4.000000000000000000e+00 2.680825731063289918e-01 8.341806117843885424e-05
4.250000000000000000e+00 3.215550980643052670e-01 1.000568687914233707e-04
4.500000000000000000e+00 3.817035074111598258e-01 1.187729816388319006e-04
4.750000000000000000e+00 4.489205002285914237e-01 1.396885941462187777e-04
5.000000000000000000e+00 5.235987755982988157e-01 1.629259007391384035e-04
5.250000000000000000e+00 6.061310326019806460e-01 1.886070958431450577e-04
5.500000000000000000e+00 6.969099703213358366e-01 2.168543738837932231e-04
5.750000000000000000e+00 7.963282878380627539e-01 2.477899292866371115e-04
6.000000000000000000e+00 9.047786842338603197e-01 2.815359564772311517e-04
6.250000000000000000e+00 1.022653858590427456e+00 3.182146498811296909e-04
6.500000000000000000e+00 1.150346509989462529e+00 3.579482039238870224e-04
6.750000000000000000e+00 1.288249337512664461e+00 4.008588130310576560e-04
7.000000000000000000e+00 1.436755040241731951e+00 4.470686716281957766e-04
7.250000000000000000e+00 1.596256317258363699e+00 4.966999741408557314e-04
7.500000000000000000e+00 1.767145867644258628e+00 5.498749149945921389e-04
7.750000000000000000e+00 1.949816390481114992e+00 6.067156886149590754e-04
8.000000000000000000e+00 2.144660584850631935e+00 6.673444894275108339e-04
